Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T1,0,200000,500000,-1
2022-03-02 11:02:47+00:00,1,105,T1,205,199795,499795,72
2022-03-02 11:44:23+00:00,1,106,T1,8,199787,499787,79
2022-03-03 14:35:30+00:00,1,111,T1,114,199673,499673,4
2022-03-04 09:48:23+00:00,1,118,T1,138,199535,499535,42
2022-03-04 11:40:23+00:00,1,113,T1,560,198975,498975,95
2022-03-07 12:40:10+00:00,1,128,T1,1665,197310,497310,92
2022-03-07 13:12:28+00:00,1,125,T1,198,197112,497112,91
2022-03-07 14:28:13+00:00,1,129,T1,264,196848,496848,13
2022-03-07 14:51:28+00:00,1,124,T1,126,196722,496722,65
2022-03-08 09:27:26+00:00,1,135,T1,1078,195644,495644,2
2022-03-08 10:06:06+00:00,1,131,T1,294,195350,495350,2
2022-03-08 10:26:08+00:00,1,133,T1,980,194370,494370,2
2022-03-08 11:25:31+00:00,1,132,T1,495,193875,493875,69
2022-03-08 12:46:01+00:00,1,134,T1,1960,191915,491915,2
2022-03-09 10:04:02+00:00,1,144,T1,570,191345,491345,14
2022-03-09 10:21:34+00:00,1,143,T1,980,190365,490365,31
2022-03-09 11:18:12+00:00,1,140,T1,2730,187635,487635,31
2022-03-09 12:49:46+00:00,1,136,T1,192,187443,487443,13
2022-03-09 13:23:45+00:00,1,137,T1,441,187002,487002,2
2022-03-09 14:55:49+00:00,1,145,T1,180,186822,486822,52
2022-03-10 11:40:03+00:00,1,151,T1,5130,181692,481692,50
2022-03-10 13:18:21+00:00,1,150,T1,1050,180642,480642,31
2022-03-14 08:34:15+00:00,1,154,T1,598,180044,480044,41
2022-03-14 09:33:41+00:00,1,158,T1,115,179929,479929,42
2022-03-14 09:55:22+00:00,1,157,T1,144,179785,479785,13
2022-03-14 10:05:59+00:00,1,161,T1,72,179713,479713,13
2022-03-14 11:03:46+00:00,1,160,T1,300,179413,479413,32
2022-03-14 12:23:21+00:00,1,156,T1,114,179299,479299,4
2022-03-14 12:37:07+00:00,1,155,T1,82,179217,479217,87
2022-03-14 12:49:20+00:00,1,159,T1,304,178913,478913,88
2022-03-15 09:09:20+00:00,1,162,T1,574,178339,478339,48
2022-03-15 12:30:19+00:00,1,164,T1,1224,177115,477115,34
2022-03-16 21:21:00+00:00,1,199,T1,574,176541,476541,70
2022-03-17 09:57:00+00:00,1,210,T1,70,176471,476471,31
2022-03-17 13:17:00+00:00,1,211,T1,980,175491,475491,31
2022-03-22 09:20:00+00:00,1,197,T1,130,175361,475361,68
2022-03-22 09:42:00+00:00,1,198,T1,1155,174206,474206,69
2022-03-29 11:30:00+00:00,1,202,T1,2392,171814,471814,41
2022-04-01 02:36:00+00:00,1,215,T1,100,171714,471714,61
2022-04-04 09:14:00+00:00,1,203,T1,140,171574,471574,61
2022-04-04 09:51:00+00:00,1,204,T1,240,171334,471334,59
2022-04-04 10:45:00+00:00,1,205,T1,270,171064,471064,84
2022-04-04 12:29:00+00:00,1,206,T1,336,170728,470728,58
2022-04-04 12:49:00+00:00,1,207,T1,18,170710,470710,60
2022-04-04 13:50:00+00:00,1,209,T1,285,170425,470425,104
2022-04-11 09:30:00+00:00,1,212,T1,105,170320,470320,96
2022-04-11 11:04:00+00:00,1,213,T1,40,170280,470280,55
2022-04-11 12:01:00+00:00,1,214,T1,380,169900,469900,55
2022-04-13 09:44:00+00:00,1,222,T1,168,169732,469732,65
2022-04-13 10:10:00+00:00,1,223,T1,120,169612,469612,27
2022-04-13 10:23:00+00:00,1,224,T1,240,169372,469372,19
2022-04-13 11:15:00+00:00,1,225,T1,98,169274,469274,65
