Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T14,0,200000,500000,-1
2022-03-04 09:48:23+00:00,1,118,T14,138,199862,499862,42
2022-03-07 11:09:02+00:00,1,122,T14,550,199312,499312,93
2022-03-07 11:58:34+00:00,1,130,T14,850,198462,498462,93
2022-03-07 12:40:10+00:00,1,128,T14,1665,196797,496797,92
2022-03-07 13:12:28+00:00,1,125,T14,198,196599,496599,91
2022-03-07 13:59:02+00:00,1,127,T14,160,196439,496439,25
2022-03-07 14:17:30+00:00,1,126,T14,40,196399,496399,83
2022-03-07 14:28:13+00:00,1,129,T14,264,196135,496135,13
2022-03-07 14:51:28+00:00,1,124,T14,126,196009,496009,65
2022-03-08 09:27:26+00:00,1,135,T14,1078,194931,494931,2
2022-03-08 10:06:06+00:00,1,131,T14,294,194637,494637,2
2022-03-08 10:26:08+00:00,1,133,T14,980,193657,493657,2
2022-03-08 12:46:01+00:00,1,134,T14,1960,191697,491697,2
2022-03-09 10:04:02+00:00,1,144,T14,570,191127,491127,14
2022-03-09 11:18:47+00:00,1,142,T14,1440,189687,489687,39
2022-03-09 12:49:46+00:00,1,136,T14,192,189495,489495,13
2022-03-09 13:23:45+00:00,1,137,T14,441,189054,489054,2
2022-03-09 14:05:18+00:00,1,138,T14,35,189019,489019,46
2022-03-09 14:09:59+00:00,1,139,T14,385,188634,488634,46
2022-03-10 09:43:42+00:00,1,146,T14,30,188604,488604,85
2022-03-10 09:44:00+00:00,1,147,T14,144,188460,488460,85
2022-03-10 10:20:53+00:00,1,148,T14,90,188370,488370,85
2022-03-10 11:40:03+00:00,1,151,T14,5130,183240,483240,50
2022-03-14 08:34:15+00:00,1,154,T14,598,182642,482642,41
2022-03-14 09:33:41+00:00,1,158,T14,115,182527,482527,42
2022-03-14 09:42:21+00:00,1,153,T14,138,182389,482389,73
2022-03-14 09:55:22+00:00,1,157,T14,144,182245,482245,13
2022-03-14 10:05:59+00:00,1,161,T14,72,182173,482173,13
2022-03-15 10:11:29+00:00,1,163,T14,1027,181146,481146,71
2022-03-16 10:00:00+00:00,1,200,T14,790,180356,480356,71
2022-03-29 11:30:00+00:00,1,202,T14,2392,177964,477964,41
2022-04-01 01:31:00+00:00,1,217,T14,700,177264,477264,63
2022-04-01 09:28:00+00:00,1,218,T14,640,176624,476624,64
2022-04-01 09:46:00+00:00,1,219,T14,837,175787,475787,103
2022-04-01 13:06:00+00:00,1,216,T14,760,175027,475027,62
2022-04-04 09:51:00+00:00,1,204,T14,240,174787,474787,59
2022-04-04 10:45:00+00:00,1,205,T14,270,174517,474517,84
2022-04-04 12:29:00+00:00,1,206,T14,336,174181,474181,58
2022-04-04 12:49:00+00:00,1,207,T14,18,174163,474163,60
2022-04-04 13:50:00+00:00,1,209,T14,285,173878,473878,104
2022-04-06 09:43:43+00:00,1,196,T14,30,173848,473848,85
2022-04-11 11:04:00+00:00,1,213,T14,40,173808,473808,55
2022-04-11 12:01:00+00:00,1,214,T14,380,173428,473428,55
2022-04-13 09:44:00+00:00,1,222,T14,168,173260,473260,65
2022-04-13 10:10:00+00:00,1,223,T14,120,173140,473140,27
2022-04-13 10:23:00+00:00,1,224,T14,240,172900,472900,19
2022-04-13 11:15:00+00:00,1,225,T14,98,172802,472802,65
2022-04-13 11:26:00+00:00,1,226,T14,132,172670,472670,66
