Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T2,0,200000,500000,-1
2022-03-09 14:05:18+00:00,1,138,T2,35,199965,499965,46
2022-03-09 14:09:59+00:00,1,139,T2,385,199580,499580,46
2022-03-14 08:34:15+00:00,1,154,T2,598,198982,498982,41
2022-03-15 12:30:19+00:00,1,164,T2,1224,197758,497758,34
2022-03-29 11:30:00+00:00,1,202,T2,2392,195366,495366,41
2022-04-01 02:36:00+00:00,1,215,T2,100,195266,495266,61
2022-04-01 09:28:00+00:00,1,218,T2,640,194626,494626,64
2022-04-01 13:06:00+00:00,1,216,T2,760,193866,493866,62
2022-04-04 09:14:00+00:00,1,203,T2,140,193726,493726,61
2022-04-11 11:04:00+00:00,1,213,T2,40,193686,493686,55
2022-04-11 12:01:00+00:00,1,214,T2,380,193306,493306,55
