Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T3,0,200000,500000,-1
2022-03-02 11:02:47+00:00,1,105,T3,205,199795,499795,72
2022-03-02 11:44:23+00:00,1,106,T3,8,199787,499787,79
2022-03-03 14:35:30+00:00,1,111,T3,114,199673,499673,4
2022-03-10 09:43:42+00:00,1,146,T3,30,199643,499643,85
2022-03-10 09:44:00+00:00,1,147,T3,144,199499,499499,85
2022-03-10 10:20:53+00:00,1,148,T3,90,199409,499409,85
2022-03-14 08:34:15+00:00,1,154,T3,598,198811,498811,41
2022-03-14 11:03:46+00:00,1,160,T3,300,198511,498511,32
2022-03-14 12:23:21+00:00,1,156,T3,114,198397,498397,4
2022-03-14 12:37:07+00:00,1,155,T3,82,198315,498315,87
2022-03-14 12:49:20+00:00,1,159,T3,304,198011,498011,88
2022-03-15 09:09:20+00:00,1,162,T3,574,197437,497437,48
2022-03-16 21:21:00+00:00,1,199,T3,574,196863,496863,70
2022-03-22 09:20:00+00:00,1,197,T3,130,196733,496733,68
2022-03-29 11:30:00+00:00,1,202,T3,2392,194341,494341,41
2022-04-06 09:43:43+00:00,1,196,T3,30,194311,494311,85
