Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T4,0,200000,500000,-1
2022-03-09 14:05:18+00:00,1,138,T4,35,199965,499965,46
2022-03-09 14:09:59+00:00,1,139,T4,385,199580,499580,46
2022-03-09 15:03:49+00:00,1,141,T4,126,199454,499454,90
2022-03-10 11:40:03+00:00,1,151,T4,5130,194324,494324,50
2022-03-14 08:34:15+00:00,1,154,T4,598,193726,493726,41
2022-03-15 10:11:29+00:00,1,163,T4,1027,192699,492699,71
2022-03-16 10:00:00+00:00,1,200,T4,790,191909,491909,71
2022-03-22 09:20:00+00:00,1,197,T4,130,191779,491779,68
2022-03-29 11:30:00+00:00,1,202,T4,2392,189387,489387,41
2022-04-01 01:31:00+00:00,1,217,T4,700,188687,488687,63
2022-04-01 09:28:00+00:00,1,218,T4,640,188047,488047,64
2022-04-01 13:06:00+00:00,1,216,T4,760,187287,487287,62
2022-04-04 10:45:00+00:00,1,205,T4,270,187017,487017,84
2022-04-04 13:19:00+00:00,1,208,T4,8,187009,487009,102
2022-04-13 02:35:00+00:00,1,229,T4,320,186689,486689,76
2022-04-13 11:51:00+00:00,1,227,T4,45,186644,486644,30
